frame,time_s,x,y,visible
589,9.8024,1313.16,562.14,0
590,9.8191,1325.65,555.73,0
591,9.8357,1338.14,549.32,0
592,9.8523,1350.63,542.91,0
593,9.8690,1363.12,536.50,0
594,9.8856,1375.62,530.09,0
595,9.9023,1388.11,523.68,0
596,9.9189,1400.60,517.27,0
597,9.9356,1413.09,510.86,0
598,9.9522,1425.58,504.45,0
599,9.9688,1438.08,498.04,0
600,9.9855,1450.57,491.63,0
601,10.0021,,,0
602,10.0188,1187.02,502.41,1
603,10.0354,1174.32,499.75,1
604,10.0521,1171.56,494.18,0
605,10.0687,1154.42,497.45,1
606,10.0853,1146.61,496.15,1
607,10.1020,1138.28,495.98,1
608,10.1186,1132.37,495.91,1
609,10.1353,1126.48,495.93,1
610,10.1519,1120.79,495.67,1
611,10.1686,1116.13,496.52,1
612,10.1852,1111.67,496.77,1
613,10.2018,1108.00,497.74,1
614,10.2185,1104.10,498.58,1
615,10.2351,1100.93,499.55,1
616,10.2518,1098.04,500.56,1
617,10.2684,1092.97,501.00,0
618,10.2851,1089.27,501.84,0
619,10.3017,1085.56,502.67,0
620,10.3183,1081.86,503.51,0
621,10.3350,1078.16,504.34,0
622,10.3516,1074.45,505.18,0
623,10.3683,1070.75,506.01,0
624,10.3849,1067.04,506.85,0
625,10.4015,1063.34,507.68,0
626,10.4182,1059.64,508.52,0
627,10.4348,1055.93,509.35,0
628,10.4515,1052.23,510.19,0
629,10.4681,1048.52,511.02,0
630,10.4848,1044.82,511.86,0
631,10.5014,1041.12,512.69,0
632,10.5180,1037.41,513.53,0
633,10.5347,1033.71,514.36,0
634,10.5513,1030.00,515.20,0
635,10.5680,1026.30,516.03,0
636,10.5846,1022.60,516.87,0
637,10.6013,,,0
638,10.6179,,,0
639,10.6345,,,0
640,10.6512,,,0
641,10.6678,,,0
642,10.6845,,,0
643,10.7011,,,0
644,10.7178,,,0
645,10.7344,,,0
646,10.7510,,,0
647,10.7677,,,0
648,10.7843,,,0
649,10.8010,,,0
650,10.8176,,,0
651,10.8343,,,0
652,10.8509,,,0
653,10.8675,,,0
654,10.8842,,,0
655,10.9008,,,0
656,10.9175,,,0
657,10.9341,,,0
658,10.9507,,,0
659,10.9674,,,0
660,10.9840,,,0
661,11.0007,,,0
662,11.0173,,,0
663,11.0340,,,0
664,11.0506,,,0
665,11.0672,,,0
666,11.0839,,,0
667,11.1005,,,0
668,11.1172,,,0
669,11.1338,,,0
670,11.1505,,,0
671,11.1671,,,0
672,11.1837,,,0
673,11.2004,,,0
674,11.2170,,,0
675,11.2337,,,0
676,11.2503,,,0
677,11.2670,,,0
678,11.2836,,,0
679,11.3002,,,0
680,11.3169,,,0
681,11.3335,,,0
682,11.3502,,,0
683,11.3668,,,0
684,11.3835,,,0
685,11.4001,,,0
686,11.4167,,,0
687,11.4334,,,0
688,11.4500,,,0
